"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","4","5","6","7","8","9","10","11","12","1","2","3","square"
"210",325937625,22,10,8510,94.5555555555556,10,1,6,2,1,1,1,3,4,1,0,0,2,"r3c1"
"211",325937626,144,14,60880,92.2424242424242,12,5,22,7,11,3,6,17,15,21,10,18,9,"r3c1"
"212",325973761,12,11,5017,94.6603773584906,7,1,2,0,2,0,0,0,1,2,3,1,0,"r3c1"
"213",326045928,1,1,73,73,1,0,0,0,0,1,0,0,0,0,0,0,0,"r3c1"
"214",326045961,8,11,3855,120.46875,4,0,1,0,0,0,0,0,0,1,1,0,5,"r3c1"
"215",326082096,19,17,12445,126.989795918367,8,3,1,0,0,0,1,2,0,8,1,1,2,"r3c1"
"216",326082099,1,6,1200,200,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"217",326082100,36,17,31047,154.462686567164,10,4,3,8,3,3,0,5,4,4,1,1,0,"r3c1"
"218",326082192,1,3,402,134,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c1"
"219",326082203,1,1,60,60,1,0,0,0,0,0,0,1,0,0,0,0,0,"r3c1"
"220",326082204,1,5,525,105,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"221",326082205,5,7,1281,80.0625,4,1,0,1,0,0,0,2,0,0,0,1,0,"r3c1"
"222",326118238,3,5,156,22.2857142857143,2,0,0,0,0,0,0,1,2,0,0,0,0,"r3c1"
"223",326118240,1,8,960,120,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"224",326118343,108,16,54972,117.211087420043,11,1,8,33,26,4,2,16,5,9,0,1,3,"r3c1"
"225",326118344,1,4,172,43,1,1,0,0,0,0,0,0,0,0,0,0,0,"r3c1"
"226",326154376,9,10,3409,75.7555555555556,4,1,2,0,0,0,0,4,2,0,0,0,0,"r3c1"
"227",326154481,163,14,64893,103.8288,12,11,8,27,33,15,8,8,11,11,11,7,13,"r3c1"
"228",326190506,1,4,960,240,1,0,0,0,0,0,0,0,0,0,0,0,1,"r3c1"
"229",326190513,1,3,450,150,1,0,0,1,0,0,0,0,0,0,0,0,0,"r3c1"
"230",326190514,4,7,575,35.9375,3,0,1,0,0,0,0,1,0,2,0,0,0,"r3c1"
"231",326226651,6,4,72,3,1,0,0,0,6,0,0,0,0,0,0,0,0,"r3c1"
