"","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","3","10","6","2","4","5","7","8","11","12","1","9","square"
"234",325648524,19,18,7313,73.8686868686869,7,1,3,0,0,0,4,6,0,1,3,1,0,"r3c1"
"235",325648526,1,7,700,100,1,0,0,0,0,0,1,0,0,0,0,0,0,"r3c1"
"236",325684559,158,69,250776,128.801232665639,12,9,16,19,8,11,12,21,12,15,12,15,8,"r3c1"
"237",325684565,3,17,2500,125,2,1,2,0,0,0,0,0,0,0,0,0,0,"r3c1"
"238",325684651,22,17,4926,32.4078947368421,5,0,2,0,4,1,0,14,0,0,0,1,0,"r3c1"
"239",325684652,1,9,810,90,1,0,0,0,0,0,0,0,0,1,0,0,0,"r3c1"
"240",325684654,9,15,5462,81.5223880597015,4,3,0,0,0,4,0,0,0,0,1,0,1,"r3c1"
"241",325684655,1,5,25,5,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"242",325684656,1,5,25,5,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"243",325684657,1,1,15,15,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"244",325684658,7,8,2016,36,1,0,0,0,0,0,0,7,0,0,0,0,0,"r3c1"
"245",325684659,9,13,1932,40.25,4,0,2,0,2,0,1,4,0,0,0,0,0,"r3c1"
"246",325684660,1,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,"r3c1"
"247",325684661,1,8,168,21,1,0,1,0,0,0,0,0,0,0,0,0,0,"r3c1"
"248",325684669,2,5,870,87,1,0,0,0,0,0,0,0,0,0,2,0,0,"r3c1"
"249",325684680,14,19,6765,65.6796116504854,7,0,2,1,0,1,3,0,1,2,0,4,0,"r3c1"
"250",325720789,172,48,130267,83.3975672215109,12,6,33,11,9,15,17,27,6,17,17,9,5,"r3c1"
"251",325720793,5,8,120,5,1,0,0,0,5,0,0,0,0,0,0,0,0,"r3c1"
"252",325720794,1,12,720,60,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"253",325720795,2,13,1040,65,2,0,0,0,1,0,0,0,0,1,0,0,0,"r3c1"
"254",325720796,8,15,1907,59.59375,6,2,1,0,0,1,0,1,0,2,0,0,1,"r3c1"
"255",325720797,11,18,12549,141,6,1,3,0,0,1,1,0,0,3,2,0,0,"r3c1"
"256",325720806,1,12,984,82,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"257",325720807,56,64,73741,99.5155195681511,12,2,3,11,11,3,2,7,7,2,1,6,1,"r3c1"
"258",325756833,2,11,470,29.375,2,0,0,0,1,0,0,0,1,0,0,0,0,"r3c1"
"259",325756834,9,13,2347,28.2771084337349,2,0,0,3,0,0,0,6,0,0,0,0,0,"r3c1"
"260",325756931,5,10,150,7.14285714285714,2,0,0,0,4,0,0,0,0,0,0,1,0,"r3c1"
"261",325756932,1,13,3120,240,1,0,0,0,0,0,0,0,1,0,0,0,0,"r3c1"
"262",325756935,5,11,416,13.4193548387097,3,0,0,0,0,1,0,0,1,0,0,3,0,"r3c1"
"263",325756936,2,5,280,46.6666666666667,2,0,0,0,0,0,0,1,0,0,0,1,0,"r3c1"
"264",325756944,4,12,745,46.5625,3,0,0,0,0,1,0,0,1,0,2,0,0,"r3c1"
"265",325792971,38,40,31587,68.9672489082969,7,0,1,1,0,3,0,29,0,1,1,0,2,"r3c1"
"266",325793014,2,6,60,5,1,0,0,0,2,0,0,0,0,0,0,0,0,"r3c1"
"267",325793070,2,13,2450,111.363636363636,2,0,1,0,0,0,0,0,0,0,1,0,0,"r3c1"
"268",325829210,4,15,1173,35.5454545454545,3,2,0,0,0,0,1,0,0,0,1,0,0,"r3c1"
