"X","cell","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X7","X8","X9","X11","X5","X10","X3","X4","X2","X1","X12","square"
173830,308980538,2460,374,10652331,153.489589487183,12,131,90,129,169,298,239,273,161,171,352,229,218,"r2c2ABA"
52281,431770672,527,374,1980822,142.947391210219,12,38,24,32,109,70,30,130,16,5,4,7,62,"r3c2"
67576,194146381,599,373,1421328,87.2354999079359,12,16,33,93,107,26,10,62,21,11,80,65,75,"r2c3"
68286,195080548,2852,373,21888402,148.999012954126,12,91,100,122,244,189,218,263,697,433,215,155,125,"r2c3"
164854,287367337,1628,371,4283081,122.538294280891,12,41,166,57,224,183,84,102,91,134,178,198,170,"r2c2ABA"
363175,192326162,7026,370,22443563,121.351978415321,12,247,509,764,751,672,546,621,642,646,429,532,667,"r2c1"
2253,327815221,762,370,1356457,104.310750538296,12,19,67,61,60,88,27,71,75,56,98,62,78,"r3c2"
318889,278851322,2861,369,3995549,92.5817132794216,12,126,266,174,141,159,160,200,279,257,374,376,349,"r2c2AA"
319766,279428721,705,369,2161835,146.88374779182,12,27,49,37,31,112,53,49,71,40,40,45,151,"r2c2AA"
328055,286140083,1072,369,6647925,143.394771467397,12,44,29,23,24,105,133,130,150,155,114,68,97,"r2c2AA"
163226,284300198,1472,369,5825261,161.853268872774,12,97,91,26,176,112,85,130,187,85,205,134,144,"r2c2ABA"
179602,324639907,1597,369,6914600,184.035984243586,12,109,201,136,143,245,66,120,79,77,220,104,97,"r2c2ABA"
327880,286031749,865,368,3737231,105.786656476449,12,38,54,24,11,37,46,70,163,41,143,142,96,"r2c2AA"
23814,382083296,439,368,1747058,136.916771159875,12,39,31,56,44,56,39,95,22,20,13,5,19,"r3c2"
65955,192053581,1332,367,1526190,60.6160139804591,12,89,25,50,68,187,112,107,119,102,207,104,162,"r2c3"
78579,206379253,628,367,1398831,151.25767733564,12,17,2,19,2,41,33,43,160,166,59,43,43,"r2c3"
30743,397419658,1028,367,4746404,124.352327805287,11,38,381,122,272,3,5,187,9,2,0,2,7,"r3c2"
