"cell_5km_scale","number_checklists","total_SR","total_duration","avg_duration","no_months","X6","X8","X7","X9","X11","X5","X10","X2","X3","X4","X1","X12","square"
16170191,1165,427,2552001,113.583808082606,12,53,97,98,82,379,54,99,77,60,44,60,62,"r3c3"
11303769,1261,426,4636401,123.99778021449,12,46,66,42,62,103,106,127,207,128,60,186,128,"r2c2AA"
16955525,750,425,3588904,147.376149802891,12,34,58,87,89,173,47,117,25,30,5,9,76,"r3c2"
11376016,1515,424,6260095,120.141538402487,12,71,31,62,109,138,87,120,235,228,116,200,118,"r2c2ABA"
12985415,3100,424,8346870,113.969114394167,12,210,154,332,203,389,122,232,456,235,162,286,319,"r2c2ABA"
15230116,239,424,848316,146.438114966339,12,62,14,21,18,50,13,27,4,8,10,10,2,"r3c2"
9838655,6303,423,5915070,57.4473850337493,12,295,435,325,403,332,396,466,602,898,731,1006,414,"r2c2AA"
11123327,2628,423,3250094,71.5800902984253,12,133,187,187,152,179,239,251,218,260,175,390,257,"r2c2AA"
12985411,1842,423,8709466,160.973403567138,12,99,147,203,114,297,109,177,231,103,77,143,142,"r2c2ABA"
9019818,1992,423,9830766,145.234321677082,12,68,76,69,127,214,188,252,176,202,213,192,215,"r2c4"
15309456,431,423,566172,81.0206067544362,12,14,19,61,89,48,87,70,5,11,16,6,5,"r3c2"
17287434,4248,423,7692476,100.265585693617,12,404,332,412,242,237,635,161,337,458,564,303,163,"r3c2"
11166637,3252,422,4901562,75.5376412026692,12,137,157,179,129,268,142,233,530,489,198,458,332,"r2c2AA"
11325419,1096,422,5406078,161.05815408449,12,21,31,32,49,97,105,62,163,190,76,201,69,"r2c2AA"
11376017,1531,422,4493418,117.281810351578,12,93,32,83,61,122,76,167,207,256,117,170,147,"r2c2ABA"
14140188,605,422,1597666,121.12706595906,12,53,87,55,40,76,44,76,32,27,27,45,43,"r3c2"
11008065,1856,421,3818826,114.387479406919,12,113,100,137,67,126,121,76,322,221,81,285,207,"r2c2ABB"
12177181,951,420,3434836,136.460053235867,12,44,66,77,70,68,40,159,75,70,48,147,87,"r2c2ABA"
6987532,11997,419,17670192,71.9766353427102,12,708,898,826,1499,1129,878,1108,842,925,889,1355,940,"r2c1"
8146159,1140,419,3163631,111.761437100364,12,8,3,1,27,153,19,31,132,220,107,137,302,"r2c4"
14132971,488,419,1679028,153.743063821994,12,44,64,54,38,63,41,46,18,17,16,40,47,"r3c2"
11181076,1232,418,4367359,160.812983283011,12,105,81,69,48,98,65,140,145,143,64,148,126,"r2c2AA"
8254373,505,418,1765045,141.645534066287,10,0,0,3,6,23,29,10,58,127,136,42,71,"r2c4"
17280193,709,418,3227708,155.058993082244,12,28,74,118,92,90,24,115,65,15,6,47,35,"r3c2"
11361502,848,417,2140780,107.668862847659,12,30,41,41,49,53,43,100,117,148,27,73,126,"r2c2AA"
11397692,2406,417,3599388,74.269313304721,12,115,97,167,111,174,229,217,290,354,163,352,137,"r2c2ABA"
13173077,682,417,1969033,116.105489710478,12,20,109,94,48,30,43,102,71,21,8,33,103,"r3c2"
11087251,1967,416,7672247,126.642352513948,12,171,106,197,94,158,99,217,163,174,149,255,184,"r2c2AA"
11419267,824,416,1402439,94.8234617985125,12,50,57,31,30,121,47,100,37,167,70,88,26,"r2c2AA"
12083356,2707,416,11660468,137.67273929419,12,137,167,146,136,330,390,322,193,256,160,247,223,"r2c2ABA"
9961332,7855,415,25690223,107.96615632893,12,404,452,406,517,511,686,494,854,983,769,1132,647,"r2c2AA"
11368799,1901,415,6330091,149.746664458743,12,119,37,107,188,157,125,180,265,256,106,176,185,"r2c2ABA"
11253247,937,414,3210330,144.942435324394,12,48,30,65,26,29,75,37,121,209,83,114,100,"r2c2AA"
11368800,3619,414,6616271,101.369271782929,12,290,138,261,410,374,207,525,344,262,276,293,239,"r2c2ABA"
11181063,1720,413,5975713,114.413697371192,12,61,187,96,82,99,160,171,208,180,138,148,190,"r2c2AA"
12234947,762,413,1386551,111.701522597277,12,36,49,85,56,92,69,48,43,35,132,56,61,"r2c2ABB"
17272973,808,413,2837787,139.34628038301,12,40,65,50,135,97,34,173,10,16,19,7,162,"r3c2"
