"","term","value","urban2","estimate","p.value","s.value","conf.low","conf.high"
"1644","urban2","Urban","Urban",92.5712433527848,0,Inf,89.8416948263783,95.3416379525719
"1645","urban2","Natural","Natural",128.952296422593,0,Inf,127.554597362792,130.357611562937
"1646","urban2","Suburban","Suburban",105.713957417813,0,Inf,103.31960785412,108.135733667174
"1647","urban2","Urban","Urban",93.4368856555394,0,Inf,90.7011162241611,96.2133031192135
"1648","urban2","Natural","Natural",128.898446269985,0,Inf,127.502912158043,130.301576012048
"1649","urban2","Suburban","Suburban",105.997845560859,0,Inf,103.575577305617,108.448111543046
"1650","urban2","Urban","Urban",94.2186760094338,0,Inf,91.4386333200682,97.0403495436308
"1651","urban2","Natural","Natural",129.363513732305,0,Inf,127.966546025954,130.768065213179
"1652","urban2","Suburban","Suburban",106.185433306321,0,Inf,103.782210444665,108.616163593332
"1653","urban2","Urban","Urban",93.6341157711032,0,Inf,90.813399526158,96.4979711462654
"1654","urban2","Natural","Natural",128.773306933143,0,Inf,127.372896004656,130.181374291439
"1655","urban2","Suburban","Suburban",105.974115174706,0,Inf,103.583732688997,108.391765139848
"1656","urban2","Urban","Urban",93.4040267862834,0,Inf,90.6525304620366,96.1966580483793
"1657","urban2","Natural","Natural",128.532905929647,0,Inf,127.142040942847,129.931337241374
"1658","urban2","Suburban","Suburban",105.709350214501,0,Inf,103.32013135314,108.125878875327
"1659","urban2","Urban","Urban",92.6355792484443,0,Inf,89.8456081147102,95.4682089925196
"1660","urban2","Natural","Natural",129.002267486541,0,Inf,127.602618515571,130.409550886627
"1661","urban2","Suburban","Suburban",106.057204269618,0,Inf,103.68145330276,108.459866697523
"1662","urban2","Urban","Urban",92.220489101232,0,Inf,89.4909219416615,94.9910606048605
"1663","urban2","Natural","Natural",128.358752295502,0,Inf,126.96807104471,129.757008185963
"1664","urban2","Suburban","Suburban",106.248654631339,0,Inf,103.83673789337,108.688262652279
"1665","urban2","Urban","Urban",92.4911320403382,0,Inf,89.7438015661718,95.2798829683022
"1666","urban2","Natural","Natural",129.166879748816,0,Inf,127.760742743412,130.580712447134
"1667","urban2","Suburban","Suburban",106.237553827073,0,Inf,103.845511254672,108.656833497956
"1668","urban2","Urban","Urban",93.8352000846763,0,Inf,91.0588334141673,96.6532589953511
"1669","urban2","Natural","Natural",128.589069914891,0,Inf,127.190432263759,129.995355567077
"1670","urban2","Suburban","Suburban",105.121349673531,0,Inf,102.747838229631,107.52196345167
"1671","urban2","Urban","Urban",92.5495780639707,0,Inf,89.7886195576292,95.3523453024688
"1672","urban2","Natural","Natural",128.497306892726,0,Inf,127.101271251795,129.900967498006
"1673","urban2","Suburban","Suburban",105.560811733869,0,Inf,103.119207530182,108.030984245848
"1674","urban2","Urban","Urban",91.1700220177389,0,Inf,88.4491899335774,93.9320710288569
"1675","urban2","Natural","Natural",128.435086168889,0,Inf,127.034393266326,129.843458874755
"1676","urban2","Suburban","Suburban",106.006764888266,0,Inf,103.615410249058,108.425400816173
"1677","urban2","Urban","Urban",92.9469707168736,0,Inf,90.1820078315595,95.7536826228121
"1678","urban2","Natural","Natural",128.87120517068,0,Inf,127.484507386771,130.265404034988
"1679","urban2","Suburban","Suburban",105.751224497869,0,Inf,103.32393974714,108.206690069703
"1680","urban2","Urban","Urban",92.725071002203,0,Inf,89.9340087895965,95.5587836160252
"1681","urban2","Natural","Natural",128.607528605587,0,Inf,127.216215582914,130.006408424873
"1682","urban2","Suburban","Suburban",105.233667795053,0,Inf,102.827942134871,107.667210741684
